Title,description,authors,publisher,publishedDate,categories
Audi Quattro: The Complete Story,The Audi Quattro was the world's first successful four-wheel-drive rally car. It brought new standards to the sport and inspired many others to copy it. This is the complete story.,Graham Robson,Veloce Publishing Ltd,6/15/2008,Sports & Recreation
How to Buy and Sell Used Cameras,Skills necessary to successfully buy and sell used photographic equipment?such as inspecting cameras and lenses negotiating and determining retail and wholesale prices and finding interested buyers?are covered in this detailed guide. Key issues surrounding used-camera sales are examined including the impact of collector demand how geography influences camera prices and legal matters such as return and refund rights. Real-life case studies camera-condition rating scales and information on restoration and repair all lend practical hands-on advice for the novice or experienced used-camera buyer and seller.,David Neil Arndt,Amherst Media Inc,2000,Business & Economics
101 Best Ways to Be Your Best,THE PROVEN FIVE-STEP STRATEGY FOR FINDING THE JOB OF YOUR DREAMS! “If you are serious about landing a quality job quickly in today’s job market this book will practically guarantee your success. –Bob Burg bestselling author of Endless Referrals and The Go-Giver “Jay Block has taken his place as one of the career coaching industry’s most innovative thinkers and contributors. —Frank X. Fox Executive Director Professional Association of Resume Writers & Career Coaches “A must-read for all job seekers in today’s highly competitive job market. —Sherry Zylka Associate Dean of Continuing Education and Workforce Development Schoolcraft College (Michigan) “Jay has written a unique and highly effective book combining motivational techniques with job search innovation. —Susan Leventhal Manager Professional Placement Network Workforce One Florida About the Book: In 101 Best Ways to Land a Job in Troubled Times Jay Block helps you approach your job transition strategically—not as a one-time search but as a campaign of discovery through which you’ll achieve your career objectives. Follow his easy five-step process to: Manage fear and negative emotions that impede success Carefully define clear job and career goals Create effective and high-impact self- marketing tools that make job seekers STAND OUT professionally Develop strategic structured action plans that will become the job seeker’s GPS to their next job Take action and “enjoy the process of landing a job in troubled times quickly and effectively Block’s proven method is the only way to truly seize control of your future land the job you want and earn the pay you deserve.,Jay A. Block,Mcgraw-hill,11/18/2009,Business & Economics
Sorcerers' Apprentices: 100 Years of Law Clerks at the United States Supreme Court,Ward and Weiden have produced that rare book that is both a meticulous piece of scholarship and a good read. The authors have . . . sifted through a varied and voluminous amount of archival material winnowing out the chaff and leaving the excellent wheat for our consumption. They marry this extensive archival research with original survey data using both to great effect. --Law and Politics Book ReviewHelps illuminate the inner workings of an institution that is still largely shrouded in mystery. --The Wall Street Journal OnlineThe main quibble . . . with contemporary law clerks is that they wield too much influence over their justices' opinion-writing. Artemus and Weiden broaden this concern to the clerks' influence on the thinking of the justices about how to decide cases. --Slate.comProvides excellent insight into the inner workings of the Supreme Court how it selects cases for review what pressures are brought to bear on the justices and how the final opinions are produced. Recommended for all academic libraries. --Library JournalArtemus Ward and David L. Weiden argue that the clerks have more power than they used to have and probably more power than they should. --Washington PostThe book contains a wealth of historical information. . . . A reader can learn a lot from this pioneering study. --Cleveland Plain DealerMeticulous in scholarship. . . . Sorcerers' Apprentices presents convincing statistical evidence that the aggregate time that law clerks spend on certiorari memos has fallen considerably because of the reduction in the number of memos written by each clerk. --Judge Richard A. Posner in The New RepublicBased on judicial working papers and extensive interviews the authors have compiled the most complete picture to dat,Artemus Ward;David L Weiden,NYU Press,1/1/2007,Law
Beauty Queen,From bestselling Printz Award-winning author Libba Bray the story of a plane of beauty pageant contestants that crashes on a desert island. Teen beauty queens. A Lost-like island. Mysteries and dangers. No access to emall. And the spirit of fierce feral competition that lives underground in girls a savage brutality that can only be revealed by a journey into the heart of non-exfoliated darkness. Oh the horror the horror! Only funnier. With evening gowns. And a body count.,Libba Bray,Scholastic Inc.,5/24/2011,Juvenile Fiction
A Bad Piece of Luck,In Tampa the birds have been singing - doves wrens mockingbirds even the jailbirds - but Kuka can't quite fit their message together until a Carolina wren starts a nest in a pocket of his shorts which have been drying on the line much too long... Sometimes cracker blues sometimes black humor sometimes hammering revenge sometimes love lyric - all the time A Bad Piece of Luck sings in a voice you won't forget.,Tom Abrams,Livingston Press,1994,Comics & Graphic Novels
The Economics of Asymmetric Information,This book presents recent developments in the economics of asymmetric information. The problems of selection and moral hazard with hidden actions or hidden information are introduced by examining how they affect the market for investment finance. The ideas are then used to analyse the market for insurance signalling and screening models of education efficiency wages industrial regulation public procurement and auctions. Coverage is thorough while avoiding excessive mathematical detail. Diagrams and verbal reasoning make the ideas accessible to intermediate level undergraduate students and beyond.,B. Hillier,Bloomsbury Publishing,4/7/1997,Business & Economics
The True Story of Manse Jolly Part II: As Told by the Hon. A.W. Fries,(The True Story of Manse Jolly Part I) is honest and powerful and never less than utterly convincing. A really first-rate historical novel dense with the details of life teeming with living people - more real than history as good fiction tends to be.-Author Jack Matthews Ohio University Those who are interested in Civil War history and they are legion will find this book a fascinating and easy read.-Tony Kiss Asheville N.C. Citizen-Times,Steve Biondo,iUniverse,2004-06,Fiction
Giants among Us,The rise of a new queen has shattered the ancient peace of the Ice Spires and the only thing left standing between Hartsvale and the giant tribes bent on her destruction is a lone scout armed with a single golden arrow. And now that sanctuary is about to end. The queen is trapped in a remote citadel surrounded by giants and the scout who would save her must now leave and undertake a harrowing journey to summon help. Only as the scout soon learns the greatest danger to the queen is posed not from without but from within.,Troy Denning,Wizards of the Coast,10/18/2011,Fiction
The Unseen Queen (Star Wars: Dark Nest Book 2),With an unknown enemy attacking the Killiks' new nests and the insectoid race blaming the Jedi the Skywalkers and Solos journey to the Unknown Regions to unravel the mystery only to come face to face with an old evil that could trigger a galactic war. Original.,Troy Denning,Lucasbooks,2005,Fiction
The Audubon Reader (Everyman's Library),An anthology of nature writings by the great artist and ornithologist features Audubon's writings about the American wilderness and its plant and animal life accompanied by excerpts from his journals letters and published works that include accounts of,John James Audubon,Everyman's Library,2006,Nature
Two Lucky People: Memoirs,This rich autobiographical and historical panorama (Wall Street Journal) provides a memorable and lively account of the lives of the Friedmans: their involvement with world leaders and many of this century's most important public policy issues. 26 photos.,Milton Friedman;Rose D. Friedman,University of Chicago Press,1999-06,Biography & Autobiography
